,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1858,BB_GS_TT_181_22_MN-00_AdT-Combo_CH-60_ITR_GS9_Itr_07_GrK_NY60_Itr_02_WS60_FB_380_GrK,manual || LP test || W21+ || Top LTV || /670 || BROAD || BL30d || 1C || 02.11,$1,66,2025-04-11,2025-04-14,3
1859,BB_GS_TT_181_22_MN-00_AdT-Combo_CH-60_ITR_GS7_GK5_WS-60_VK1_Dis-60_VK8_S-BFS-50_Itr-CTA2-GS,manual || LP test || W21+ || Top LTV || /525 || BROAD || BL30d || 1C || 02.11,$1,56,2025-04-11,2025-04-14,3
1860,BB_SM_1412_AS_1-6_AdF-Vid_9x16_L-US_24w44_Offer-Bookgift_CTA-121 - Copy 4,W21+ || TopC || FrB vLLA1-5% || LP:Mix || FrB Bl30d || 1C || 03.28,$1,41,2025-03-28,2025-04-14,17
1861,BB_SM_1374_AS_3-8_AdF-St_1x1_L-US_24w42_Challenge-Freebook_CTA-283 - Copy 4,W21+ || 🌎 WW || OPL || LP:Mix || FrB Bl30d || 1C || 03.27,$1,60,2025-03-27,2025-04-14,18
1862,BB_GS_TT_289_14_AdT-Combo_SS-60_GS-Scr10 | [SL] - Copy,W20+ || TopC || INT || LP:Mix || Bl30d || 1C || 03.12,$1,67,2025-03-12,2025-04-14,33
1863,BB_TT_418_L-US_SS_4_AdT-New_MN-Shoelovers_Testimonials_S-SMS50_Itr-CTA1-MD,manual || LP test || W21+ || Top LTV || /667 || BROAD || BL30d || 1C || 02.11,$1,42,2025-04-11,2025-04-13,2
1864,DF_3948_blog_5reasonsbook_cv_en_BR_1080_5 | 5 mistakes | Eating whatever | LP:BB 575 – Copy 3,WW (incl. list) | Emails | 18-65+ | FB Pixel | 7D1V | 3,$1,47,2025-04-03,2025-04-07,4
1865,BB_SM_1741_AS_2_AdF-St_1x1_L-US_25w09_FREEBOOK-Offer_CTA-00_Itr-1678 - Copy,manual W21+ || 🌎 WW || BB VV LLA5-10% || LP:Mix || FrB Bl30d || 1C || 03.27,$1,133,2025-03-28,2025-04-13,16
1866,BB_TT_423_L-US_SS_11A_AdT-New_MN-Rissy-Roo_Iterations_S-SMS50_Itr-CTA3-GS_Itr-Sc1-GS,manual || LP test || W21+ || Top LTV || /552 || BROAD || BL30d || 1C || 02.11 - Copy,$1,46,2025-04-11,2025-04-14,3
1867,BB_FB_1206_AS_1-2_AdF-St_24w34_Benefit-FreeBook_CTA-121_Itr-24w34-2-VD - Copy 2,🫳 W21+ || WW || OPB || 1C || 03.07,$1,42,2025-03-13,2025-04-13,31
1868,BB_SM_1292_OS_3-5_AdF-St_1x1_L-US_24w43_Benefit-FreebookNew_CTA-00_Itr-24w43-1-VD - Copy 2,W21+ || Top LTV || INT_Life extension || BL14d || 1C || 02.19,$1,38,2025-02-19,2025-04-13,53
1869,DF_4299_V4_AK_EN_FB_IMG_1x1_blog_expertmenopausebook_cv_en_variation-3_PG-28DWLC | Gynecology specialist | You’ll be surprised | LP:BB 575,"US,UK,CA | Broad | LP: BB 575 | Top Ads | 28-Day Weight Loss Challenge | L14d – Copy",$1,42,2025-04-04,2025-04-08,4
1870,BB_FB_1206_AS_1-2_AdF-St_24w34_Benefit-FreeBook_CTA-121_Itr-24w34-2-VD - Copy 2,W21+ || Top LTV || BB LLA 4-6% || 1C || 03.07,$1,51,2025-03-07,2025-04-13,37
1871,BB_TT_418_L-US_SS_24_AdT-New_MN-Shoelovers_Benefit-Freebook-BlackFriday_Itr-24w43-1-VD - Copy 2,manual W21+ || 🌎 WW || BB VV LLA1% || LP:Mix || FrB Bl30d || 1C || 03.27,$1,100,2025-03-28,2025-04-13,16
1872,BB_FB_1053_L-US_R-9x16_VD_5_AdF-Vid_24w23_MN-RachelR_Ugc327_S-60_CTA-02,manual || LP test || W21+ || Top LTV || /637 || BROAD || BL30d || 1C || 02.11,$1,116,2025-04-11,2025-04-13,2
1873,BB_SM_1412_AS_1-6_AdF-Vid_9x16_L-US_24w44_Offer-Bookgift_CTA-121 - Copy 4,W21+ || 🌎 WW || OPL || LP:Mix || FrB Bl30d || 1C || 03.27,$1,53,2025-03-27,2025-04-13,17
1874,BB_FB_1280_VD_1_AdF-St_1x1_L-US_24w38_Problem-SelfConfidence-FREEBOOK_Itr-25w04-4-SL,W20+ || TopC || FrB Pixel || INT || 1C || 02.19,$1,13,2025-02-19,2025-04-13,53
1875,BB_FB_1206_AS_1-2_AdF-St_24w34_Benefit-FreeBook_CTA-121_Itr-24w34-2-VD | [SL],W20+ || TopC || FrB Pixel || INT || 1C || 02.19,$1,18,2025-02-19,2025-04-14,54
1876,BB_FB_1053_L-US_R-9x16_VD_5_AdF-Vid_24w23_MN-RachelR_Ugc327_S-60_CTA-02,manual || LP test || W21+ || Top LTV || /667 || BROAD || BL30d || 1C || 02.11,$1,62,2025-04-11,2025-04-12,1
