,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
158,KR_AS_FB_160_F-VID_R-9x16_EN_24WK52_I-robohead_Itr-2 | It Only Takes | Make weight management | FU: fb | FB: Kure: Weight Loss Hypnotherapy,BMI 25+ | WW | Last 7 days | 04.05,$287,"26,678",2025-04-05,2025-04-14,9
159,"KR_MIN_FB_303_F-VID_R-9x16_EN_25WK11_I-Copy_UGC-Mix_A-NoAlco_Itr-2 | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no","Lookalike (AU, CA, US, 2%) - Kure Top clients value > 60$ 2025.02.11 size 1.3k | TOP3 | Last 7 days | 04.05",$286,"4,678",2025-04-05,2025-04-13,8
160,"KR_ADG_FB_179_F-IMG_R-1x1_EN_25WK14_I-WeightLoss_A-VGB_Itr-1 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",KR_ADG_FB_179_F-IMG_R-1x1_EN_25WK14_I-WeightLoss_A-VGB_Itr-1 | WK14 – Copy,$281,"9,254",2025-04-04,2025-04-11,7
161,"KR_MIN_FB_267_F-VID_R-9x16_EN_25WK09_I-Sale_UGC-Samantha_A-NoAlco_Itr-3 | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no",WC | CBO | 1 AS | WW | CC55 | Broad | Last 7 days | 03.28 Ad set,$281,"24,788",2025-03-28,2025-04-12,15
162,KR_LV_FB_173_F-VID_R-9x16_EN_25WK02_I-List_A-Hyponotherapy_Itr-5 | It Only Takes | Make weight management | FU: fb | FB: Kure: Weight Loss Hypnotherapy,Best interest 25+ | TOP3 | Last 7 days | 03.22,$280,"11,349",2025-04-06,2025-04-13,7
163,KR_AS_FB_160_F-VID_R-9x16_EN_24WK52_I-robohead_Itr-2 | It Only Takes | Make weight management | FU: fb | FB: Kure: Weight Loss Hypnotherapy,WC | CBO | 1 AS | TOP4 | Broad | Last 7 days | 03.29 Ad set,$279,"7,843",2025-03-29,2025-04-11,13
164,"KR_MIN_FB_198_F-VID_R-9x16_EN_25WK04_I-SpecialSale77_UGC-Mix_A-Hypnosis_Itr-7 | Shed pounds easily | FU: fb | FB: Kure: Weight Loss Hypnotherapy | No strict diets, no",Best interest 25+ | WW | Last 7 days | 04.05,$278,"89,748",2025-04-05,2025-04-14,9
165,"KR_MIN_FB_303_F-VID_R-9x16_EN_25WK11_I-Copy_UGC-Mix_A-NoAlco_Itr-2 | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no",Broad 25+ | WW | Last 7 days | 04.12,$277,"6,220",2025-04-12,2025-04-13,1
166,KR_LV_FB_144_F-IMG_R-1x1_EN_24WK50_I-Mix_A-NoAlco_Itr-1 - Copy | FU: no-alcohol-v1 | FB: Kure_paused_by_birch_wise_cut,WC | ASC | TOP4 | Interests | No-alcoho | 04.11 Ad set,$274,"8,770",2025-04-11,2025-04-14,3
167,KR_LV_FB_127_F-VID_R-9x16_EN_24WK49_I-SpecialSale77_A-VGB_Itr-5 | It Only Takes | FU: fb | Make weight management – Copy 9,WC | CBO | 1 AS | TOP4 | CC55 | Broad | Last 7 days | 03.29 Ad set,$273,"9,518",2025-03-31,2025-04-09,9
168,"KR_MIN_FB_365_F-VID_R-9x16_EN_25WK14_I-Solid_UGC-Mix_A-NoAlcoBored_Itr-1 | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no",WC | CBO | 1 AS | TOP4 | CC55 | Broad | WK14 | 04.09 Ad set,$273,"7,917",2025-04-11,2025-04-13,2
169,"KR_MIN_FB_228_F-VID_R-9x16_EN_25WK06_I-Sale77_UGC-Courtney_A-VGB_Itr-1 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",Broad 25+ | TOP4 | Last 7 days | 03.08,$271,"5,894",2025-03-31,2025-04-14,14
170,"KR_MIN_FB_303_F-VID_R-9x16_EN_25WK11_I-Copy_UGC-Mix_A-NoAlco_Itr-2 | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no",Broad 25+ | TOP4 | Last 7 days | 04.05,$269,"7,025",2025-04-05,2025-04-14,9
171,"KR_MIN_FB_198_F-VID_R-9x16_EN_25WK04_I-SpecialSale77_UGC-Mix_A-Hypnosis_Itr-7 | Shed pounds easily | FU: fb | FB: Kure: Weight Loss Hypnotherapy | No strict diets, no",Best interest 25+ | TOP4 | Last 7 days | 03.08,$269,"3,851",2025-03-30,2025-04-14,15
172,"KR_LV_FB_127_F-VID_R-9x16_EN_24WK49_I-SpecialSale77_A-VGB_Itr-5_local_IT | Shed pounds easily | FU: it/fb | FB: Kure | No strict diets, no",Broad 25+ | IT | Best creatives | 04.05,$269,"10,856",2025-04-05,2025-04-13,8
173,"KR_MIN_FB_317_F-IMG_R-1x1_EN_25WK12_I-Skinny_UGC-Mix_A-Hypnotherapy_Itr-2 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",Best interest 25+ | WW | Last 7 days | 04.05,$268,"8,467",2025-04-13,2025-04-14,1
174,"KR_MIN_FB_247_F-IMG_R-9x16_EN_25WK08_I-DialogueSale_UGC-Mix_A-Hypnosis_Itr-2_locale_IT | Shed pounds easily | FU: it/fb | FU: Kure | No strict diets, no",KR_MIN_FB_247_F-IMG_R-9x16_EN_25WK08_I-DialogueSale_UGC-Mix_A-Hypnosis_Itr-2_locale_IT | WK14 – Copy 3,$268,"9,254",2025-04-10,2025-04-13,3
175,"KR_MIN_FB_267_F-VID_R-9x16_EN_25WK09_I-Sale_UGC-Samantha_A-NoAlco_Itr-3 | Shed pounds easily | FU: no-alcohol-v1 | FB: Kure | No strict diets, no",WC | CBO | 1 AS | TOP4 | Broad | Last 7 days | 03.29 Ad set,$266,"7,155",2025-03-29,2025-04-10,12
176,KR_MIN_FB_198_F-VID_R-9x16_EN_25WK04_I-SpecialSale77_UGC-Mix_A-Hypnosis_Itr-7.mp4,CPA | iOS | AEM | US | 2024-12-10,$265,"10,123",2025-03-12,2025-04-10,29
177,"KR_MIN_FB_228_F-VID_R-9x16_EN_25WK06_I-Sale77_UGC-Courtney_A-VGB_Itr-1 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",WC | CBO | 1 AS | TOP4 | CC55 | Broad | Last 7 days | 03.29 Ad set,$263,"3,918",2025-04-04,2025-04-09,5
178,"KR_MIN_FB_198_F-VID_R-9x16_EN_25WK04_I-SpecialSale77_UGC-Mix_A-Hypnosis_Itr-7_local_IT | Shed pounds easily | FU: it/fb | FB: Kure | No strict diets, no",Best interest 25+ | IT | WK13 | 03.30,$262,"12,671",2025-04-04,2025-04-12,8
179,"KR_MIN_FB_228_F-VID_R-9x16_EN_25WK06_I-Sale77_UGC-Courtney_A-VGB_Itr-1 | Shed pounds easily | FU: fb | FB: Kure | No strict diets, no",WC | CBO | 1 AS | TOP4 | CC55 | Broad | Last 7 days | 03.29 Ad set,$259,"3,647",2025-04-07,2025-04-13,6
180,"KR_MIN_FB_198_F-VID_R-9x16_EN_25WK04_I-SpecialSale77_UGC-Mix_A-Hypnosis_Itr-7_local_IT | Shed pounds easily | FU: it/fb | FB: Kure | No strict diets, no",Broad 25+ | IT | WK13 | 03.30,$259,"13,095",2025-04-01,2025-04-12,11
181,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 2,Broad | B1,$257,"1,891",2025-04-11,2025-04-14,3
