,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
25,HH_MIN_FB_050_F-IMG_R-1x1_EN_25WK15_I-static_A-WL_Itr-3 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_050_F-IMG_R-1x1_EN_25WK15_I-static_A-WL_Itr-3 | WK15 - Copy,$46,854,2025-04-09,2025-04-10,1
26,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,kure interests mashup,$43,"1,005",2025-04-08,2025-04-10,2
27,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-3 | Menopause Weight Gain | Struggling with weight gain - Copy,All weight loss intent Buyers | B3,$37,167,2025-04-11,2025-04-14,3
28,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy,"Lookalike (US, 5%) - HH buyers 04.08",$37,306,2025-04-08,2025-04-09,1
29,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 3,Physical fitness (fitness),$36,435,2025-04-11,2025-04-12,1
30,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,All weight loss intent BMI25+ Buyers,$33,362,2025-04-08,2025-04-10,2
31,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,ASC WL 04.01 Ad set,$33,675,2025-04-03,2025-04-11,8
32,HH_MIN_FB_050_F-IMG_R-1x1_EN_25WK15_I-static_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_050_F-IMG_R-1x1_EN_25WK15_I-static_A-WL_Itr-2 | WK15 - Copy,$32,327,2025-04-09,2025-04-10,1
33,HH_MIN_FB_048_F-IMG_R-1x1_EN_25WK15_I-Solid_A-WL_Itr-1 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_048_F-IMG_R-1x1_EN_25WK15_I-Solid_A-WL_Itr-1 | WK15 - Copy,$32,365,2025-04-08,2025-04-09,1
34,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 3,Physical exercise (fitness),$31,393,2025-04-11,2025-04-12,1
35,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK15_I-Still_A-WL_Itr-8 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK15_I-Still_A-WL_Itr-8 | WK15 - Copy,$28,148,2025-04-08,2025-04-08,0
36,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 3,Health & wellness (personal care),$28,333,2025-04-11,2025-04-12,1
37,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK15_I-Still_A-WL_Itr-6 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK15_I-Still_A-WL_Itr-6 | WK15 - Copy,$28,102,2025-04-08,2025-04-08,0
38,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,Marathons (running event),$27,549,2025-04-11,2025-04-14,3
39,HH_MIN_FB_049_F-IMG_R-1x1_EN_25WK15_I-skinny_A-WL_Itr-3 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_049_F-IMG_R-1x1_EN_25WK15_I-skinny_A-WL_Itr-3 | WK15 - Copy,$27,137,2025-04-08,2025-04-08,0
40,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,Health & wellness (personal care),$27,559,2025-04-11,2025-04-12,1
41,HH_MIN_FB_053_F-VID_R-4x5_EN_25WK15_I-List_A-WL_Itr-1 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_053_F-VID_R-4x5_EN_25WK15_I-List_A-WL_Itr-1 | WK15 - Copy,$27,139,2025-04-11,2025-04-11,0
42,HH_MIN_FB_023_F-VID_R-4x5_EN_25WK10_Itr-2 - Copy 3,Jogging (running),$27,374,2025-04-11,2025-04-12,1
43,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK15_I-Still_A-WL_Itr-7 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK15_I-Still_A-WL_Itr-7 | WK15 - Copy,$26,165,2025-04-08,2025-04-08,0
44,HH_MIN_FB_049_F-IMG_R-1x1_EN_25WK15_I-skinny_A-WL_Itr-1 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_049_F-IMG_R-1x1_EN_25WK15_I-skinny_A-WL_Itr-1 | WK15 - Copy,$26,222,2025-04-08,2025-04-08,0
45,HH_MIN_FB_049_F-IMG_R-1x1_EN_25WK15_I-skinny_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_049_F-IMG_R-1x1_EN_25WK15_I-skinny_A-WL_Itr-2 | WK15 - Copy,$26,127,2025-04-08,2025-04-08,0
46,HH_MIN_FB_048_F-IMG_R-1x1_EN_25WK15_I-Solid_A-WL_Itr-3 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_048_F-IMG_R-1x1_EN_25WK15_I-Solid_A-WL_Itr-3 | WK15 - Copy,$26,341,2025-04-08,2025-04-08,0
47,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,Jogging (running),$26,455,2025-04-11,2025-04-12,1
48,HH_MIN_FB_048_F-IMG_R-1x1_EN_25WK15_I-Solid_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_048_F-IMG_R-1x1_EN_25WK15_I-Solid_A-WL_Itr-2 | WK15 - Copy,$25,273,2025-04-08,2025-04-08,0
49,HH_MIN_FB_050_F-IMG_R-1x1_EN_25WK15_I-static_A-WL_Itr-4 | Menopause Weight Gain | Struggling with weight gain,HH_MIN_FB_050_F-IMG_R-1x1_EN_25WK15_I-static_A-WL_Itr-4 | WK15 - Copy,$25,271,2025-04-09,2025-04-10,1
50,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,ASC WL 04.01 Ad set,$24,386,2025-04-07,2025-04-11,4
51,HH_MIN_FB_044_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-2 | Menopause Weight Gain | Struggling with weight gain - Copy,All weight loss intent BMI25+ Non Buyers w 40-60 - Copy,$24,483,2025-04-05,2025-04-09,4
52,HH_MIN_FB_047_F-VID_R-4x5_EN_25WK14_I-Still_A-WL_Itr-3 | Menopause Weight Gain | Struggling with weight gain - Copy,Broad | B3,$23,194,2025-04-11,2025-04-14,3
